Accepted Symbol,Synonym Symbol,Scientific Name,Growth Habit,Invasive,Bloat,C:N Ratio,Coppice Potential,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Fodder Product,Palatable Browse Animal,Palatable Graze Animal,Protein Potential
CASC8,,Carex schottii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC9,,Carex schweinitzii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC10,,Carex scirpoidea,Graminoid,,None,Medium,No,Moderate,,1.5,Long,None,Yes,Yes,Yes,Medium,4.5,6.5,4800,32,55,16,Tolerant,-38,No Known Source,Yes,No,Low,Low,Low
CASCC5,,Carex scirpoidea ssp. convoluta,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCP3,,Carex scirpoidea ssp. pseudoscirpoidea,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCS8,,Carex scirpoidea ssp. scirpoidea,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCS9,,Carex scirpoidea ssp. stenochlaena,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC11,,Carex scoparia,Graminoid,,None,Medium,No,Moderate,,2.5,Long,None,No,Yes,Yes,High,4.6,6.9,4800,20,55,8,Tolerant,-38,Routinely Available,Yes,No,Low,Low,Low
CASCS,,Carex scoparia var. scoparia,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCT,,Carex scoparia var. tessellata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC12,,Carex scopulorum,Graminoid,,None,Medium,No,Moderate,,1.3,Moderate,None,Yes,Yes,Yes,High,6.8,7.5,4800,8,20,8,Intermediate,-38,Routinely Available,Yes,No,Low,Medium,Low
CASCB,,Carex scopulorum var. bracteosa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCP,,Carex scopulorum var. prionophylla,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCS2,,Carex scopulorum var. scopulorum,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE14,,Carex secalina,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE28,,Carex sempervirens,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE,,Carex senta,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE6,,Carex seorsa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE33,,Carex serpenticola,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE2,,Carex serratodens,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH,,Carex sheldonii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH8,,Carex shinnersii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH2,,Carex shortiana,Graminoid,,None,Medium,No,Moderate,,3,Long,None,No,Yes,Yes,High,4.7,6.9,4800,32,55,8,Intermediate,-18,Routinely Available,Yes,No,Low,Low,Low
CASI12,,Carex siccata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASI6,,Carex silicea,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASI2,,Carex simulata,Graminoid,,None,Medium,No,Slow,,1.5,Moderate,None,Yes,Yes,No,High,6,7.5,2700,8,24,10,Intermediate,-38,Routinely Available,Yes,No,Low,Medium,Low
CASO,,Carex socialis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASO3,,Carex ×soerensenii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASO10,,Carex sonomensis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP3,,Carex sparganioides,Graminoid,,None,Medium,No,Moderate,,3,Long,None,No,Yes,No,High,5,6.8,4800,30,55,10,Tolerant,-33,No Known Source,Yes,No,Low,Low,Low
CASP35,,Carex specicola,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP4,,Carex specifica,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP5,,Carex spectabilis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP10,,Carex spicata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP18,,Carex ×spiculosa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP6,,Carex spissa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP7,,Carex sprengelii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASQ2,,Carex squarrosa,Graminoid,,None,Medium,No,Slow,,3,Moderate,None,No,Yes,Yes,Medium,5.6,7.3,4800,34,55,8,Tolerant,-28,Routinely Available,Yes,No,Low,Low,Low
CAST59,,Carex stellata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST60,,Carex stenocarpa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST55,,Carex ×stenolepis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST4,,Carex stenoptila,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST16,,Carex sterilis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST5,,Carex stipata,Graminoid,,None,Medium,No,Slow,,3.5,Moderate,None,No,Yes,Yes,Medium,4.9,7.9,4800,12,50,8,Tolerant,-38,Routinely Available,Yes,No,Medium,Low,Low
CASTM,,Carex stipata var. maxima,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTS3,,Carex stipata var. stipata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST6,,Carex straminea,Graminoid,,None,Medium,No,Moderate,,3,Moderate,None,No,Yes,Yes,High,4.7,6.9,4800,36,55,8,Tolerant,-28,No Known Source,Yes,No,Low,Low,Low
CAST7,,Carex straminiformis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST41,,Carex striata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTB,,Carex striata var. brevis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTS4,,Carex striata var. striata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST17,,Carex striatula,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST8,,Carex stricta,Graminoid,,None,,No,Moderate,,4.2,Long,None,Yes,Yes,Yes,Medium,3.5,7,4800,32,65,18,Tolerant,-38,Routinely Available,Yes,No,,Medium,
CAST38,,Carex stygia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST9,,Carex styloflexa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST10,,Carex stylosa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU4,,Carex subbracteata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU5,,Carex suberecta,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU6,,Carex subfusca,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU14,,Carex ×subimpressa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU7,,Carex subnigricans,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU69,,Carex ×subpaleacea,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU71,,Carex ×subrecta,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU72,,Carex ×subreducta,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU37,,Carex ×subsalina,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU8,,Carex subspathacea,Graminoid,,None,Medium,No,Moderate,,1,Short,None,No,No,No,,4.5,8.5,20000,7,20,12,Intolerant,-52,,Yes,No,Medium,Medium,
CASU15,,Carex ×subviridula,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU16,,Carex ×sullivantii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU67,,Carex superata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASU9,,Carex supina,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASUS3,,Carex supina var. spaniocarpa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASW,,Carex swanii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASY,,Carex sychnocephala,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASY3,,Carex sylvatica,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATA,,Carex tahoensis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE12,,Carex tenax,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE3,,Carex tenera,Graminoid,,None,Medium,No,Slow,,2.5,Moderate,None,No,Yes,Yes,Medium,4.9,7,4800,30,50,8,Tolerant,-33,No Known Source,Yes,No,Low,Low,Low
CATE4,,Carex teneriformis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE5,,Carex tenuiflora,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE6,,Carex tetanica,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE29,,Carex tetrastachya,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE7,,Carex texensis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATH5,,Carex thornei,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATH6,,Carex thunbergii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATH,,Carex thurberi,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATI6,,Carex timida,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATI2,,Carex tincta,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATI5,,Carex tiogana,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATO20,,Carex tomentosa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATO9,,Carex tompkinsii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATO10,,Carex tonsa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATOR,,Carex tonsa var. rugosperma,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATOT,,Carex tonsa var. tonsa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATO3,,Carex torreyi,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATO4,,Carex torta,Graminoid,,None,Medium,No,Slow,,2.8,Long,None,Yes,Yes,No,Medium,5,7,4800,32,50,8,Tolerant,-33,Routinely Available,Yes,No,Low,Low,Low
CATR6,,Carex triangularis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATR7,,Carex tribuloides,Graminoid,,None,Medium,No,Slow,,3,Moderate,None,No,Yes,Yes,Medium,4.8,7,4800,32,50,8,Tolerant,-28,Routinely Available,Yes,No,Low,Low,Low
CATRS2,,Carex tribuloides var. sangamonensis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATRT2,,Carex tribuloides var. tribuloides,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATR11,,Carex ×trichina,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATR8,,Carex trichocarpa,Graminoid,,None,High,No,Rapid,,3.5,Long,None,No,Yes,Yes,High,5.7,7,4800,18,55,10,Intermediate,-33,Routinely Available,Yes,No,Low,Low,Low
CATR9,,Carex triquetra,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATR10,,Carex trisperma,Graminoid,,None,Medium,No,Moderate,,1.9,Long,None,No,Yes,Yes,High,4.5,6.8,4800,32,55,8,Tolerant,-33,No Known Source,Yes,No,Low,Low,Low
CATRT3,,Carex trisperma var. trisperma,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATU2,,Carex tuckermanii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATU3,,Carex tumulicola,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATU17,,Carex turbinata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATU4,,Carex turgescens,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATY,,Carex typhina,Graminoid,,None,Medium,No,Moderate,,2,Long,None,No,Yes,Yes,High,5.7,7,4800,32,55,8,Tolerant,-28,Routinely Available,Yes,No,Low,Low,Low
CAUL,,Carex ultra,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAUM4,,Carex umbellata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAUN3,,Carex unilateralis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAUR,,Carex ursina,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAUT,,Carex utriculata,Graminoid,,None,Medium,No,Moderate,,3.5,Moderate,None,No,Yes,Yes,High,5.7,7.7,18000,18,60,8,Intolerant,-43,Contracting Only,Yes,No,Low,Low,
CAVA15,,Carex vacillans,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVA2,,Carex vaginata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVA3,,Carex vallicola,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAR,,Carex vallicola var. rusbyi,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVAV,,Carex vallicola var. vallicola,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVE7,,Carex venusta,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVEM,,Carex venusta var. minor,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVEV,,Carex venusta var. venusta,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVE5,,Carex vernacula,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVE8,,Carex verrucosa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVE6,,Carex vesicaria,Graminoid,,None,Medium,No,Moderate,,3,Moderate,None,Yes,Yes,Yes,High,4.5,7.5,4800,8,40,16,Intermediate,-38,Routinely Available,Yes,No,Low,Medium,Low
CAVE9,,Carex vestita,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVE10,,Carex vexans,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVI3,,Carex vicaria,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVI4,,Carex virescens,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVI30,,Carex viridistellata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVI5,,Carex viridula,Graminoid,,None,Medium,No,Moderate,,1.5,Moderate,None,No,Yes,Yes,High,4.5,7.5,11000,8,40,10,Intolerant,-38,Routinely Available,Yes,No,Low,Medium,Low
CAVIB,,Carex viridula ssp. brachyrrhyncha,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVIE,,Carex viridula ssp. brachyrrhyncha var. elatior,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVIS3,,Carex viridula ssp. brachyrrhyncha var. saxilittoralis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVIO,,Carex viridula ssp. oedocarpa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVIV,,Carex viridula ssp. viridula,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVU7,,Carex vulpina,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVU2,,Carex vulpinoidea,Graminoid,,None,,No,Moderate,,3.2,Long,None,No,Yes,Yes,Medium,6.8,8.9,19000,12,65,16,Intermediate,-38,Routinely Available,Yes,No,,Medium,
CAVUP2,,Carex vulpinoidea var. pycnocephala,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVUV,,Carex vulpinoidea var. vulpinoidea,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWA,,Carex wahuensis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWAH,,Carex wahuensis ssp. herbstii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWAR2,,Carex wahuensis ssp. rubiginosa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWAW,,Carex wahuensis ssp. wahuensis,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWH,,Carex whitneyi,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWI7,,Carex wiegandii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWI2,,Carex willdenowii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWI3,,Carex williamsii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWO2,,Carex woodii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWO,,Carex wootonii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAXA5,,Carex ×xanthocarpa,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAXE,,Carex xerantica,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAXE2,,Carex xerophila,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAZA4,,Carex ×zahnii,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARIC,,Carica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMO28,,Carica monoica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPA23,,Carica papaya,"Tree, Shrub",,None,High,No,Rapid,,20,Short,None,No,Yes,Yes,High,5,8,700,60,80,40,Intolerant,32,Routinely Available,Yes,No,,,
CAPU39,,Carica pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAQU9,,Carica quercifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARIS,,Carissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACA74,,Carissa carandas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAED8,,Carissa edulis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMA37,,Carissa macrocarpa,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLI,,Carlina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVU3,,Carlina vulgaris,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVUL,,Carlina vulgaris ssp. longifolia,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLO,,Carlowrightia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAAR7,,Carlowrightia arizonica,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
CALI2,,Carlowrightia linearifolia,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
CAME18,,Carlowrightia mexicana,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPA42,,Carlowrightia parviflora,Subshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPA51,,Carlowrightia parvifolia,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE3,,Carlowrightia serpyllifolia,Subshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE15,,Carlowrightia texana,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
CATO13,,Carlowrightia torreyana,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLQ,,Carlquistia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMU27,,Carlquistia muirii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLU,,Carludovica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPA65,,Carludovica palmata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARMI2,,Carmichaelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWI11,,Carmichaelia williamsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARMI,,Carminatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE8,,Carminatia tenuiflora,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARMO,,Carmona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARE22,,Carmona retusa,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNE2,,Carnegiea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAGI10,,Carnegiea gigantea,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPE,,Carpenteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACA17,,Carpenteria californica,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPH,,Carphephorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABE4,,Carphephorus bellidifolius,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACA59,,Carphephorus carnosus,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACO37,,Carphephorus corymbosus,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAOD3,,Carphephorus odoratissimus,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPA53,,Carphephorus paniculatus,Forb/herb,,None,Medium,No,Rapid,,3,Moderate,None,No,Yes,Yes,Low,5.8,7,,30,60,12,Tolerant,7,Routinely Available,Yes,No,Low,Low,
CAPS5,,Carphephorus pseudoliatris,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATO5,,Carphephorus tomentosus,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPH2,,Carphochaete,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABI6,,Carphochaete bigelovii,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPI,,Carpinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABE8,,Carpinus betulus,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACA18,,Carpinus caroliniana,"Tree, Shrub",,None,High,No,Slow,18,30,Short,None,Yes,Yes,No,Medium,4,7.4,1200,23,80,20,Tolerant,-34,Routinely Available,Yes,No,Low,Low,Low
CACAC2,,Carpinus caroliniana ssp. caroliniana,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
CACAV,,Carpinus caroliniana ssp. virginiana,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
CACO60,,Carpinus coreana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPO,,Carpobrotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAAC18,,Carpobrotus acinaciformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACH38,,Carpobrotus chilensis,"Shrub, Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
CAED3,,Carpobrotus edulis,Shrub,Cal-IPC,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTH,,Carthamus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALA20,,Carthamus lanatus,Forb/herb,"STATE, WSWS",,,,,,,,,,,,,,,,,,,,,,,,,,
CALAC3,,Carthamus lanatus ssp. creticus,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALAL10,,Carthamus lanatus ssp. lanatus,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALE52,,Carthamus leucocaulos,Forb/herb,STATE,,,,,,,,,,,,,,,,,,,,,,,,,,
CAOX6,,Carthamus oxyacanthus,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATI,,Carthamus tinctorius,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARUM,,Carum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACA19,,Carum carvi,Forb/herb,"STATE, WSWS",,,,,,,,,,,,,,,,,,,,,,,,,,
CARYA,,Carya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAAQ2,,Carya aquatica,Tree,,None,High,Yes,Slow,30,85,Moderate,None,Yes,Yes,Yes,Medium,4,7.3,700,35,70,48,Intermediate,-18,Routinely Available,Yes,No,Low,Low,
CABR16,,Carya ×brownii,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACA38,,Carya carolinae-septentrionalis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACO24,,Carya ×collina,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACO15,,Carya cordiformis,Tree,,None,High,No,Slow,30,75,Moderate,None,Yes,Yes,Yes,Medium,4.8,7.4,700,25,70,50,Intolerant,-47,Routinely Available,Yes,No,Low,Low,Low
CADE10,,Carya ×demareei,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADU3,,Carya ×dunbarii,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFL6,,Carya floridana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAGL8,,Carya glabra,Tree,,None,High,No,Slow,30,80,Moderate,None,Yes,Yes,No,Medium,4.8,7.3,700,30,80,50,Intermediate,-30,Contracting Only,Yes,No,Low,Low,Low
CAIL2,,Carya illinoinensis,Tree,,None,High,No,Slow,35,120,Long,None,Yes,Yes,Yes,High,4.5,7.5,700,28,79,32,Intolerant,-21,Routinely Available,Yes,No,Low,Low,Low
CALA21,,Carya laciniosa,Tree,,None,High,Yes,Slow,35,100,Long,None,Yes,Yes,No,High,5,6.6,700,30,60,60,Tolerant,-22,Routinely Available,Yes,No,Low,Low,Low
CALA34,,Carya ×laneyi,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALE13,,Carya ×lecontei,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALU8,,Carya ×ludoviciana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMY,,Carya myristiciformis,Tree,,None,High,No,Slow,30,95,Moderate,None,No,Yes,Yes,Medium,4.7,6.5,700,40,60,48,Intolerant,-10,Routinely Available,Yes,No,Low,,
CANU8,,Carya ×nussbaumeri,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAOV3,,Carya ovalis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAOV2,,Carya ovata,Tree,,None,High,No,Slow,15,75,Long,None,Yes,Yes,Yes,Medium,4,7.3,700,29,80,48,Intermediate,-40,Routinely Available,Yes,No,Low,Low,
CAPA24,,Carya pallida,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC16,,Carya ×schneckii,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATE9,,Carya texana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATO6,,Carya tomentosa,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARYO2,,Caryocar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAAM28,,Caryocar amygdaliferum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABR36,,Caryocar brasiliense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
